time,volume,open,high,low,close,instrument,granularity,RSI,MACD,Signal_Line,Histogram,BollingerBands_middle,BollingerBands_std,ATR,ADX,OBV
2024-04-05 03:00:00+00:00,3572,151.184,151.27,151.145,151.262,USD_JPY,H1,,0.0,0.0,0.0,,,,,-3572
2024-04-05 04:00:00+00:00,3463,151.264,151.296,151.204,151.218,USD_JPY,H1,,-0.0035099715099704554,-0.0007019943019940911,-0.002807977207976364,,,,,-7035
2024-04-05 05:00:00+00:00,3615,151.218,151.222,151.132,151.186,USD_JPY,H1,,-0.00877265606607125,-0.002316126654809523,-0.006456529411261727,,,,,-10650
2024-04-05 06:00:00+00:00,5398,151.188,151.296,151.094,151.264,USD_JPY,H1,,-0.006573646461134786,-0.0031676306160745757,-0.00340601584506021,,,,,-5252
2024-04-05 07:00:00+00:00,7127,151.264,151.356,151.17,151.34,USD_JPY,H1,,0.001286815724625967,-0.0022767413479344674,0.0035635570725604344,,,,,1875
2024-04-05 08:00:00+00:00,5591,151.34,151.454,151.309,151.414,USD_JPY,H1,,0.01333376683055576,0.0008453602877635782,0.012488406542792182,,,,,7466
2024-04-05 09:00:00+00:00,4287,151.413,151.446,151.374,151.42,USD_JPY,H1,,0.023098942006640755,0.005296076631539014,0.017802865375101742,,,,,11753
2024-04-05 10:00:00+00:00,4051,151.42,151.428,151.334,151.338,USD_JPY,H1,,0.023945173930854935,0.009025896091402199,0.014919277839452736,,,,,7702
2024-04-05 11:00:00+00:00,3989,151.339,151.412,151.338,151.376,USD_JPY,H1,,0.027366635707039677,0.012694044014529695,0.014672591692509982,,,,,11691
2024-04-05 12:00:00+00:00,11963,151.375,151.748,151.273,151.658,USD_JPY,H1,,0.05223112415609421,0.0206014600428426,0.03162966411325161,,,,,23654
2024-04-05 13:00:00+00:00,9483,151.658,151.753,151.595,151.615,USD_JPY,H1,,0.06768642280812287,0.030018452595898658,0.03766797021222421,,,,,14171
2024-04-05 14:00:00+00:00,10067,151.614,151.646,151.44,151.526,USD_JPY,H1,,0.07192420468300043,0.03839960301331902,0.03352460166968141,,,,,4104
2024-04-05 15:00:00+00:00,7294,151.526,151.668,151.526,151.592,USD_JPY,H1,,0.07968971236633138,0.04665762488392149,0.033032087482409885,,,,,11398
2024-04-05 16:00:00+00:00,4345,151.592,151.62,151.528,151.582,USD_JPY,H1,67.39130434782649,0.08406793391463907,0.05413968669006501,0.02992824722457406,,,,,7053
2024-04-05 17:00:00+00:00,3353,151.58,151.614,151.547,151.587,USD_JPY,H1,67.5675675675678,0.08693898573835668,0.060699546499723346,0.02623943923863333,,,0.14964285714285705,,10406
2024-04-05 18:00:00+00:00,3396,151.589,151.59,151.538,151.554,USD_JPY,H1,68.38074398249663,0.08556514901061973,0.06567266700190263,0.0198924820087171,,,0.14678571428571477,,7010
2024-04-05 19:00:00+00:00,2881,151.555,151.653,151.542,151.649,USD_JPY,H1,73.69498464687916,0.09109202736914312,0.07075653907535073,0.020335488293792392,,,0.14828571428571383,,9891
2024-04-05 20:00:00+00:00,1533,151.65,151.65,151.607,151.63,USD_JPY,H1,69.93464052287612,0.09286844742356948,0.07517892074499448,0.017689526678575,,,0.13692857142857154,,8358
2024-04-07 21:00:00+00:00,201,151.625,151.625,151.584,151.616,USD_JPY,H1,66.1214953271046,0.09208509051555325,0.07856015469910624,0.013524935816447009,,,0.12657142857142795,,8157
2024-04-07 22:00:00+00:00,2646,151.616,151.736,151.616,151.696,USD_JPY,H1,66.35730858468858,0.09680371298915702,0.0822088663571164,0.014594846632040623,151.47615000000002,0.1647343235892738,0.12478571428571124,,10803
2024-04-07 23:00:00+00:00,2606,151.697,151.698,151.648,151.682,USD_JPY,H1,65.05747126436876,0.0982806540953618,0.08542322390476548,0.01285743019059632,151.49714999999998,0.16275660710978762,0.12321428571428328,,8197
